CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,TIPO_DEMONSTRATIVO
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.04.02.03,Amortização,-4000.0,N,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.04.02.03,Amortização,-80506000.0,N,con
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,13054072000.0,S,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,22248904000.0,S,con
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.06,Resultado Financeiro,-4386422000.0,S,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.06,Resultado Financeiro,-11628121000.0,S,con
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.06.01.02,Receitas de aplicações financeiras,1438836000.0,N,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.06.01.02,Receitas de aplicações financeiras,2937517000.0,N,con
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.07,Resultado Antes dos Tributos sobre o Lucro,8667650000.0,S,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.07,Resultado Antes dos Tributos sobre o Lucro,10620783000.0,S,con
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,1710472000.0,S,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-240030000.0,S,con
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.09,Resultado Líquido das Operações Continuadas,10378122000.0,S,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.09,Resultado Líquido das Operações Continuadas,10380753000.0,S,con
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.10,Resultado Líquido de Operações Descontinuadas,0.0,S,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.10,Resultado Líquido de Operações Descontinuadas,0.0,S,con
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.11,Lucro/Prejuízo do Período,10378122000.0,S,ind
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.11,Lucro/Prejuízo Consolidado do Período,10380753000.0,S,con
00.001.180/0001-26,2024-12-31,2,AXIA ENERGIA S.A.,002437,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.99,Lucro por Ação - (Reais / Ação),0.0,N,ind
